;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
243;Sunday;35;Store2
244;Sunday;23;Store3
245;Sunday;25;Store4
246;Monday;2;Store1
247;Tuesday;2;Store1
248;Wednesday;1;Store1
249;Saturday;2;Store1
250;Monday;2;Store1
251;Saturday;2;Store1
252;Sunday;5;Store1
253;Monday;1;Store1
254;Monday;1;Store2
255;Tuesday;1;Store2
256;Wednesday;3;Store2
257;Thursday;1;Store2
258;Thursday;1;Store3
259;Saturday;1;Store2
260;Sunday;2;Store4
261;Saturday;144;Store1
262;Saturday;82;Store2
263;Saturday;100;Store3
264;Saturday;95;Store4
265;Sunday;91;Store1
266;Sunday;76;Store2
267;Sunday;115;Store3
268;Sunday;85;Store4
269;Monday;155;Store1
270;Monday;112;Store2
271;Monday;91;Store3
272;Monday;93;Store4
273;Tuesday;118;Store1
274;Tuesday;113;Store2
275;Tuesday;118;Store3
276;Tuesday;114;Store4
277;Wednesday;137;Store1
278;Wednesday;133;Store2
279;Wednesday;113;Store3
280;Wednesday;107;Store4
281;Thursday;177;Store1
282;Thursday;161;Store2
283;Thursday;87;Store3
284;Thursday;142;Store4
285;Friday;157;Store1
286;Friday;143;Store2
287;Friday;128;Store3
288;Friday;139;Store4
289;Saturday;166;Store1
290;Saturday;79;Store2
291;Saturday;92;Store3
292;Saturday;125;Store4
293;Sunday;99;Store1
294;Sunday;66;Store2
295;Sunday;67;Store3
296;Sunday;101;Store4
297;Monday;97;Store1
298;Monday;94;Store2
299;Monday;77;Store3
300;Monday;148;Store4
301;Tuesday;117;Store1
302;Tuesday;111;Store2
303;Tuesday;111;Store3
304;Tuesday;139;Store4
305;Wednesday;149;Store1
306;Wednesday;123;Store2
307;Wednesday;88;Store3
308;Wednesday;146;Store4
309;Thursday;179;Store1
310;Thursday;113;Store2
311;Thursday;75;Store3
312;Thursday;136;Store4
313;Friday;153;Store1
314;Friday;146;Store2
315;Friday;107;Store3
316;Friday;150;Store4
317;Saturday;157;Store1
318;Saturday;82;Store2
319;Saturday;82;Store3
320;Saturday;137;Store4
321;Sunday;98;Store1
322;Sunday;67;Store2
323;Sunday;52;Store3
324;Sunday;125;Store4
