;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
1057;Saturday;58;Store3
1058;Saturday;102;Store4
1059;Sunday;83;Store1
1060;Sunday;48;Store2
1061;Sunday;42;Store3
1062;Sunday;91;Store4
1063;Monday;85;Store1
1064;Monday;107;Store2
1065;Monday;106;Store3
1066;Monday;111;Store4
1067;Tuesday;134;Store1
1068;Tuesday;129;Store2
1069;Tuesday;141;Store3
1070;Tuesday;120;Store4
1071;Wednesday;94;Store1
1072;Wednesday;99;Store2
1073;Wednesday;131;Store3
1074;Wednesday;141;Store4
1075;Thursday;125;Store1
1076;Thursday;134;Store2
1077;Thursday;128;Store3
1078;Thursday;147;Store4
1079;Friday;104;Store1
1080;Friday;145;Store2
1081;Friday;101;Store3
1082;Friday;156;Store4
1083;Saturday;129;Store1
1084;Saturday;95;Store2
1085;Saturday;58;Store3
1086;Saturday;119;Store4
1087;Sunday;92;Store1
1088;Sunday;38;Store2
1089;Sunday;55;Store3
1090;Sunday;93;Store4
1091;Monday;72;Store1
1092;Monday;95;Store2
1093;Monday;126;Store3
1094;Monday;102;Store4
1095;Tuesday;132;Store1
1096;Tuesday;162;Store2
1097;Tuesday;103;Store3
1098;Tuesday;109;Store4
1099;Wednesday;148;Store1
1100;Wednesday;135;Store2
1101;Wednesday;123;Store3
1102;Wednesday;129;Store4
1103;Thursday;196;Store1
1104;Thursday;152;Store2
1105;Thursday;143;Store3
1106;Thursday;161;Store4
1107;Friday;211;Store1
1108;Friday;118;Store2
1109;Friday;152;Store3
1110;Friday;119;Store4
1111;Saturday;147;Store1
1112;Saturday;89;Store2
1113;Saturday;85;Store3
1114;Saturday;126;Store4
1115;Sunday;142;Store1
1116;Sunday;68;Store2
1117;Sunday;74;Store3
1118;Sunday;109;Store4
1119;Monday;134;Store1
1120;Monday;148;Store2
1121;Monday;116;Store3
1122;Monday;134;Store4
1123;Monday;48;Store1
1124;Monday;22;Store2
1125;Monday;19;Store3
1126;Monday;33;Store4
1127;Saturday;40;Store1
1128;Saturday;28;Store2
1129;Saturday;24;Store3
1130;Saturday;32;Store4
1131;Sunday;39;Store1
1132;Sunday;57;Store2
1133;Sunday;39;Store3
1134;Sunday;39;Store4
1135;Monday;37;Store1
1136;Monday;54;Store2
1137;Monday;30;Store3
1138;Monday;25;Store4
1139;Tuesday;35;Store1
1140;Tuesday;75;Store2
1141;Tuesday;44;Store3
1142;Tuesday;29;Store4
1143;Wednesday;45;Store1
1144;Wednesday;73;Store2
1145;Wednesday;25;Store3
1146;Wednesday;41;Store4
1147;Thursday;54;Store1
1148;Thursday;55;Store2
1149;Thursday;45;Store3
1150;Thursday;51;Store4
1151;Friday;33;Store1
1152;Friday;26;Store2
1153;Friday;22;Store3
1154;Friday;49;Store4
1155;Saturday;19;Store1
1156;Saturday;15;Store2
1157;Saturday;16;Store3
1158;Saturday;35;Store4
1159;Sunday;49;Store1
1160;Sunday;42;Store2
1161;Sunday;33;Store3
1162;Sunday;27;Store4
1163;Monday;43;Store1
1164;Monday;42;Store2
1165;Monday;47;Store3
1166;Monday;23;Store4
1167;Tuesday;29;Store1
1168;Tuesday;57;Store2
1169;Tuesday;18;Store3
1170;Tuesday;30;Store4
1171;Wednesday;43;Store1
1172;Wednesday;52;Store2
1173;Wednesday;28;Store3
1174;Wednesday;44;Store4
1175;Thursday;51;Store1
1176;Thursday;59;Store2
1177;Thursday;36;Store3
1178;Thursday;41;Store4
1179;Friday;56;Store1
1180;Friday;29;Store2
1181;Friday;29;Store3
1182;Friday;50;Store4
1183;Saturday;28;Store1
1184;Saturday;30;Store2
1185;Saturday;14;Store3
1186;Saturday;49;Store4
1187;Sunday;39;Store1
1188;Sunday;32;Store2
1189;Sunday;36;Store3
1190;Sunday;34;Store4
1191;Monday;37;Store1
1192;Monday;63;Store2
1193;Monday;35;Store3
1194;Monday;33;Store4
1195;Tuesday;35;Store1
1196;Tuesday;62;Store2
1197;Tuesday;34;Store3
1198;Tuesday;42;Store4
1199;Wednesday;62;Store1
1200;Wednesday;74;Store2
1201;Wednesday;30;Store3
1202;Wednesday;39;Store4
1203;Thursday;45;Store1
1204;Thursday;63;Store2
1205;Thursday;33;Store3
1206;Thursday;47;Store4
1207;Friday;39;Store1
1208;Friday;29;Store2
1209;Friday;21;Store3
1210;Friday;46;Store4
1211;Saturday;35;Store1
1212;Saturday;18;Store2
1213;Saturday;27;Store4
1214;Sunday;37;Store1
1215;Sunday;33;Store3
1216;Sunday;26;Store4
1217;Monday;60;Store1
1218;Monday;40;Store2
1219;Monday;32;Store3
1220;Monday;30;Store4
1221;Tuesday;38;Store1
1222;Tuesday;45;Store2
1223;Tuesday;43;Store3
1224;Tuesday;47;Store4
1225;Wednesday;50;Store1
1226;Wednesday;55;Store2
1227;Wednesday;34;Store3
1228;Wednesday;33;Store4
1229;Thursday;40;Store1
1230;Thursday;55;Store2
1231;Thursday;37;Store3
1232;Thursday;40;Store4
1233;Friday;47;Store1
1234;Friday;40;Store2
1235;Friday;24;Store3
1236;Friday;46;Store4
1237;Saturday;38;Store1
1238;Saturday;19;Store2
1239;Saturday;21;Store3
1240;Saturday;30;Store4
1241;Sunday;36;Store1
1242;Sunday;66;Store2
1243;Sunday;37;Store3
1244;Sunday;31;Store4
1245;Saturday;18;Store1
1246;Saturday;38;Store2
1247;Saturday;29;Store3
1248;Saturday;29;Store4
1249;Sunday;16;Store1
1250;Sunday;28;Store2
1251;Sunday;5;Store3
1252;Sunday;22;Store4
1253;Monday;23;Store1
1254;Monday;27;Store2
1255;Monday;48;Store3
1256;Monday;59;Store4
1257;Tuesday;22;Store1
1258;Tuesday;48;Store2
1259;Tuesday;32;Store3
1260;Tuesday;14;Store4
1261;Wednesday;34;Store1
1262;Wednesday;68;Store2
1263;Wednesday;29;Store3
1264;Wednesday;18;Store4
1265;Thursday;28;Store1
1266;Thursday;51;Store2
1267;Thursday;32;Store3
1268;Thursday;16;Store4
1269;Friday;21;Store1
1270;Friday;61;Store2
1271;Friday;37;Store3
1272;Friday;35;Store4
1273;Saturday;30;Store1
1274;Saturday;42;Store2
1275;Saturday;23;Store3
1276;Saturday;27;Store4
1277;Sunday;27;Store1
1278;Sunday;29;Store2
1279;Sunday;21;Store3
1280;Sunday;23;Store4
1281;Monday;14;Store1
1282;Monday;45;Store2
1283;Monday;37;Store3
1284;Monday;27;Store4
1285;Tuesday;23;Store1
1286;Tuesday;61;Store2
1287;Tuesday;35;Store3
1288;Tuesday;20;Store4
1289;Wednesday;25;Store1
1290;Wednesday;48;Store2
1291;Wednesday;41;Store3
1292;Wednesday;10;Store4
1293;Thursday;31;Store1
1294;Thursday;63;Store2
1295;Thursday;36;Store3
1296;Thursday;28;Store4
1297;Friday;26;Store1
1298;Friday;59;Store2
1299;Friday;40;Store3
1300;Friday;40;Store4
1301;Saturday;33;Store1
1302;Saturday;54;Store2
1303;Saturday;25;Store3
1304;Saturday;34;Store4
1305;Sunday;23;Store1
1306;Sunday;30;Store2
1307;Sunday;18;Store3
1308;Sunday;27;Store4
1309;Monday;31;Store1
1310;Monday;46;Store2
1311;Monday;36;Store3
1312;Monday;26;Store4
1313;Tuesday;25;Store1
1314;Tuesday;59;Store2
1315;Tuesday;37;Store3
1316;Tuesday;20;Store4
1317;Wednesday;36;Store1
1318;Wednesday;53;Store2
1319;Wednesday;46;Store3
1320;Wednesday;19;Store4
1321;Thursday;18;Store1
1322;Thursday;82;Store2
1323;Thursday;26;Store3
1324;Thursday;25;Store4
1325;Friday;22;Store1
1326;Friday;63;Store2
1327;Friday;36;Store3
1328;Friday;39;Store4
1329;Saturday;36;Store1
1330;Saturday;68;Store2
1331;Saturday;33;Store3
1332;Saturday;16;Store4
1333;Sunday;34;Store1
1334;Sunday;35;Store2
1335;Sunday;20;Store3
1336;Sunday;41;Store4
1337;Monday;29;Store1
1338;Monday;69;Store2
1339;Monday;33;Store3
1340;Monday;38;Store4
1341;Tuesday;29;Store1
1342;Tuesday;62;Store2
1343;Tuesday;37;Store3
1344;Tuesday;41;Store4
1345;Wednesday;45;Store1
1346;Wednesday;63;Store2
1347;Wednesday;29;Store3
1348;Wednesday;23;Store4
1349;Thursday;38;Store1
1350;Thursday;61;Store2
1351;Thursday;37;Store3
1352;Thursday;20;Store4
1353;Friday;34;Store1
1354;Friday;57;Store2
1355;Friday;32;Store3
1356;Friday;20;Store4
1357;Saturday;30;Store1
1358;Saturday;59;Store2
1359;Saturday;25;Store3
1360;Saturday;36;Store4
1361;Sunday;27;Store1
1362;Sunday;24;Store2
1363;Sunday;22;Store3
1364;Sunday;36;Store4
1365;Monday;50;Store1
1366;Monday;71;Store2
1367;Monday;41;Store3
1368;Monday;23;Store4
1369;Monday;19;Store1
1370;Monday;12;Store2
1371;Monday;15;Store3
1372;Monday;29;Store4
1373;Saturday;34;Store1
1374;Saturday;28;Store2
1375;Saturday;18;Store3
1376;Saturday;17;Store4
1377;Sunday;33;Store1
1378;Sunday;53;Store2
1379;Sunday;27;Store3
1380;Sunday;22;Store4
1381;Monday;39;Store1
1382;Monday;77;Store2
1383;Monday;30;Store3
1384;Monday;31;Store4
1385;Tuesday;43;Store1
1386;Tuesday;64;Store2
1387;Tuesday;36;Store3
1388;Tuesday;31;Store4
1389;Wednesday;26;Store1
1390;Wednesday;77;Store2
1391;Wednesday;28;Store3
1392;Wednesday;22;Store4
1393;Thursday;35;Store1
1394;Thursday;65;Store2
1395;Thursday;40;Store3
1396;Thursday;29;Store4
1397;Friday;39;Store1
1398;Friday;72;Store2
1399;Friday;29;Store3
1400;Friday;24;Store4
1401;Saturday;31;Store1
1402;Saturday;34;Store2
1403;Saturday;14;Store3
1404;Saturday;25;Store4
1405;Sunday;43;Store1
1406;Sunday;76;Store2
1407;Sunday;39;Store3
1408;Sunday;27;Store4
1409;Monday;57;Store1
1410;Monday;65;Store2
1411;Monday;39;Store3
1412;Monday;23;Store4
1413;Tuesday;42;Store1
1414;Tuesday;67;Store2
1415;Tuesday;37;Store3
1416;Tuesday;21;Store4
1417;Wednesday;63;Store1
1418;Wednesday;68;Store2
1419;Wednesday;30;Store3
1420;Wednesday;20;Store4
1421;Thursday;50;Store1
1422;Thursday;72;Store2
1423;Thursday;27;Store3
1424;Thursday;34;Store4
1425;Friday;39;Store1
1426;Friday;50;Store2
1427;Friday;20;Store3
1428;Friday;38;Store4
1429;Saturday;30;Store1
1430;Saturday;42;Store2
1431;Saturday;26;Store3
1432;Saturday;34;Store4
1433;Sunday;35;Store1
1434;Sunday;64;Store2
1435;Sunday;15;Store3
1436;Sunday;16;Store4
1437;Monday;43;Store1
1438;Monday;71;Store2
1439;Monday;34;Store3
1440;Monday;42;Store4
1441;Tuesday;48;Store1
1442;Tuesday;72;Store2
1443;Tuesday;34;Store3
1444;Tuesday;35;Store4
1445;Wednesday;59;Store1
1446;Wednesday;84;Store2
1447;Wednesday;35;Store3
1448;Wednesday;22;Store4
1449;Thursday;45;Store1
1450;Thursday;75;Store2
1451;Thursday;39;Store3
1452;Thursday;20;Store4
1453;Friday;54;Store1
1454;Friday;61;Store2
1455;Friday;28;Store3
1456;Friday;26;Store4
1457;Saturday;25;Store1
1458;Saturday;35;Store2
1459;Saturday;23;Store4
1460;Sunday;28;Store1
1461;Sunday;33;Store3
1462;Sunday;32;Store4
1463;Monday;35;Store1
1464;Monday;58;Store2
1465;Monday;28;Store3
1466;Monday;23;Store4
1467;Tuesday;32;Store1
1468;Tuesday;56;Store2
1469;Tuesday;33;Store3
1470;Tuesday;29;Store4
1471;Wednesday;40;Store1
1472;Wednesday;84;Store2
1473;Wednesday;32;Store3
1474;Wednesday;33;Store4
1475;Thursday;47;Store1
1476;Thursday;73;Store2
1477;Thursday;37;Store3
1478;Thursday;35;Store4
1479;Friday;61;Store1
1480;Friday;71;Store2
1481;Friday;21;Store3
1482;Friday;40;Store4
1483;Saturday;43;Store1
1484;Saturday;32;Store2
1485;Saturday;12;Store3
1486;Saturday;19;Store4
1487;Sunday;31;Store1
1488;Sunday;77;Store2
1489;Sunday;25;Store3
1490;Sunday;25;Store4
1491;Saturday;1;Store2
1492;Saturday;1;Store4
1493;Sunday;1;Store2
1494;Monday;4;Store3
1495;Tuesday;2;Store2
1496;Tuesday;3;Store3
1497;Wednesday;2;Store1
1498;Wednesday;2;Store2
1499;Wednesday;4;Store3
1500;Thursday;1;Store1
1501;Thursday;3;Store2
1502;Thursday;5;Store3
1503;Thursday;1;Store4
1504;Friday;2;Store1
1505;Friday;5;Store2
1506;Friday;2;Store3
1507;Saturday;2;Store1
1508;Saturday;1;Store2
1509;Saturday;3;Store3
1510;Saturday;1;Store4
1511;Sunday;1;Store1
1512;Sunday;2;Store3
1513;Sunday;3;Store4
1514;Monday;1;Store1
1515;Monday;1;Store2
1516;Monday;2;Store3
1517;Tuesday;4;Store1
1518;Tuesday;3;Store2
1519;Tuesday;3;Store3
1520;Wednesday;1;Store1
1521;Wednesday;8;Store3
1522;Thursday;1;Store1
1523;Thursday;2;Store2
1524;Thursday;5;Store3
1525;Friday;2;Store1
1526;Friday;5;Store2
1527;Friday;3;Store3
1528;Sunday;1;Store1
1529;Sunday;1;Store2
1530;Sunday;2;Store4
1531;Monday;2;Store2
1532;Tuesday;1;Store1
1533;Tuesday;3;Store2
1534;Tuesday;3;Store3
1535;Wednesday;3;Store1
1536;Wednesday;5;Store2
1537;Wednesday;7;Store3
1538;Thursday;3;Store2
1539;Thursday;3;Store3
1540;Friday;2;Store1
1541;Friday;1;Store2
1542;Friday;5;Store3
1543;Saturday;3;Store2
1544;Saturday;2;Store3
1545;Sunday;2;Store2
1546;Sunday;2;Store3
1547;Sunday;2;Store4
1548;Monday;2;Store1
1549;Monday;3;Store2
1550;Monday;3;Store3
1551;Monday;1;Store4
1552;Tuesday;2;Store2
1553;Tuesday;7;Store3
1554;Wednesday;1;Store2
1555;Wednesday;4;Store3
1556;Wednesday;1;Store4
1557;Thursday;2;Store1
1558;Thursday;2;Store2
1559;Thursday;3;Store3
1560;Thursday;3;Store4
1561;Friday;2;Store1
1562;Friday;2;Store2
1563;Friday;2;Store3
1564;Friday;1;Store4
1565;Saturday;1;Store1
1566;Saturday;2;Store3
1567;Saturday;2;Store4
1568;Sunday;1;Store1
1569;Sunday;1;Store3
1570;Monday;2;Store2
1571;Monday;2;Store3
1572;Monday;1;Store4
1573;Monday;2;Store1
1574;Saturday;2;Store1
1575;Saturday;1;Store4
1576;Sunday;4;Store1
1577;Sunday;2;Store2
1578;Monday;5;Store1
1579;Monday;3;Store2
1580;Tuesday;1;Store1
1581;Tuesday;4;Store3
1582;Tuesday;2;Store4
1583;Wednesday;4;Store1
1584;Wednesday;1;Store2
1585;Wednesday;2;Store3
1586;Wednesday;1;Store4
1587;Thursday;2;Store1
1588;Thursday;2;Store2
1589;Thursday;1;Store3
1590;Friday;4;Store1
1591;Friday;1;Store2
1592;Friday;2;Store4
1593;Saturday;2;Store1
1594;Saturday;1;Store2
1595;Saturday;2;Store4
1596;Sunday;1;Store1
1597;Sunday;3;Store4
1598;Monday;4;Store1
1599;Monday;1;Store3
1600;Monday;1;Store4
1601;Tuesday;2;Store1
1602;Tuesday;6;Store3
1603;Tuesday;2;Store4
1604;Wednesday;3;Store1
1605;Wednesday;6;Store2
1606;Wednesday;1;Store4
1607;Thursday;2;Store1
1608;Thursday;3;Store3
1609;Thursday;1;Store4
1610;Friday;1;Store4
1611;Saturday;1;Store2
1612;Saturday;1;Store3
1613;Sunday;1;Store1
1614;Sunday;1;Store4
1615;Monday;1;Store1
1616;Monday;1;Store2
1617;Monday;1;Store3
1618;Monday;2;Store4
1619;Tuesday;2;Store1
1620;Tuesday;4;Store3
1621;Tuesday;3;Store4
1622;Wednesday;2;Store2
1623;Wednesday;1;Store4
1624;Thursday;3;Store1
1625;Thursday;2;Store3
1626;Thursday;2;Store4
1627;Friday;2;Store1
1628;Friday;1;Store3
1629;Friday;2;Store4
1630;Saturday;2;Store1
1631;Saturday;1;Store4
1632;Sunday;1;Store4
1633;Monday;2;Store1
1634;Monday;1;Store2
1635;Monday;1;Store3
1636;Tuesday;1;Store2
1637;Tuesday;3;Store3
1638;Tuesday;1;Store4
1639;Wednesday;2;Store1
1640;Wednesday;3;Store3
1641;Wednesday;1;Store4
1642;Thursday;1;Store2
1643;Thursday;1;Store3
1644;Thursday;1;Store4
1645;Friday;2;Store2
1646;Friday;2;Store3
1647;Friday;3;Store4
1648;Saturday;1;Store1
1649;Saturday;1;Store4
1650;Sunday;1;Store2
1651;Sunday;1;Store3
1652;Sunday;2;Store4
1653;Saturday;8;Store1
1654;Saturday;3;Store2
1655;Saturday;2;Store3
1656;Sunday;5;Store1
1657;Sunday;1;Store2
1658;Sunday;1;Store3
1659;Sunday;3;Store4
1660;Monday;2;Store1
1661;Monday;1;Store3
1662;Monday;2;Store4
1663;Tuesday;3;Store2
1664;Tuesday;2;Store3
1665;Tuesday;1;Store4
1666;Wednesday;2;Store1
1667;Wednesday;1;Store2
1668;Wednesday;2;Store3
1669;Thursday;6;Store1
1670;Thursday;3;Store2
1671;Thursday;5;Store3
1672;Friday;5;Store1
1673;Friday;2;Store2
1674;Friday;3;Store3
1675;Friday;2;Store4
1676;Saturday;5;Store1
1677;Saturday;7;Store2
1678;Saturday;2;Store3
1679;Saturday;3;Store4
1680;Sunday;3;Store1
1681;Sunday;1;Store2
1682;Sunday;10;Store3
1683;Sunday;1;Store4
1684;Monday;2;Store1
1685;Monday;3;Store2
1686;Monday;3;Store3
1687;Monday;4;Store4
1688;Tuesday;1;Store1
1689;Tuesday;5;Store2
1690;Tuesday;1;Store3
1691;Tuesday;3;Store4
1692;Wednesday;4;Store2
1693;Wednesday;1;Store3
1694;Wednesday;1;Store4
1695;Thursday;3;Store1
1696;Thursday;4;Store2
1697;Thursday;4;Store3
1698;Thursday;3;Store4
1699;Friday;9;Store1
1700;Friday;3;Store2
1701;Friday;2;Store3
1702;Friday;5;Store4
1703;Saturday;4;Store1
1704;Saturday;6;Store2
1705;Saturday;4;Store3
1706;Saturday;7;Store4
1707;Sunday;5;Store1
1708;Sunday;2;Store2
1709;Sunday;2;Store3
1710;Sunday;8;Store4
1711;Monday;5;Store1
1712;Monday;2;Store3
1713;Monday;6;Store4
1714;Tuesday;2;Store2
1715;Tuesday;1;Store3
1716;Tuesday;1;Store4
1717;Wednesday;3;Store1
1718;Wednesday;4;Store2
1719;Wednesday;4;Store3
1720;Thursday;4;Store1
1721;Thursday;5;Store2
1722;Thursday;1;Store3
1723;Thursday;6;Store4
1724;Friday;8;Store1
1725;Friday;3;Store2
1726;Friday;3;Store3
1727;Friday;1;Store4
1728;Saturday;4;Store1
1729;Saturday;6;Store2
1730;Saturday;9;Store3
1731;Saturday;2;Store4
1732;Sunday;4;Store1
1733;Sunday;3;Store2
1734;Sunday;2;Store3
1735;Sunday;3;Store4
1736;Monday;7;Store1
1737;Monday;6;Store2
1738;Monday;3;Store4
1739;Tuesday;3;Store1
1740;Tuesday;3;Store2
1741;Tuesday;2;Store3
1742;Tuesday;3;Store4
1743;Wednesday;2;Store1
1744;Wednesday;4;Store2
1745;Wednesday;4;Store3
1746;Wednesday;1;Store4
1747;Thursday;6;Store2
1748;Thursday;1;Store3
1749;Thursday;5;Store4
1750;Friday;1;Store1
1751;Friday;6;Store2
1752;Friday;3;Store3
1753;Friday;2;Store4
1754;Saturday;7;Store1
1755;Saturday;2;Store2
1756;Saturday;5;Store3
1757;Saturday;2;Store4
1758;Sunday;5;Store1
1759;Sunday;1;Store2
1760;Sunday;9;Store3
1761;Sunday;3;Store4
1762;Monday;2;Store1
1763;Monday;5;Store2
1764;Monday;1;Store3
1765;Monday;3;Store4
1766;Monday;5;Store1
1767;Monday;1;Store2
1768;Monday;3;Store4
1769;Saturday;7;Store1
1770;Saturday;2;Store2
1771;Saturday;2;Store3
1772;Saturday;8;Store4
1773;Sunday;5;Store1
1774;Sunday;6;Store2
1775;Sunday;2;Store3
1776;Monday;7;Store1
1777;Monday;5;Store2
1778;Monday;2;Store3
1779;Tuesday;2;Store1
1780;Tuesday;2;Store2
1781;Tuesday;3;Store3
1782;Tuesday;2;Store4
1783;Wednesday;4;Store1
1784;Wednesday;2;Store2
1785;Wednesday;3;Store3
1786;Wednesday;1;Store4
1787;Thursday;2;Store1
1788;Thursday;2;Store2
1789;Thursday;4;Store3
1790;Thursday;3;Store4
1791;Friday;13;Store1
1792;Friday;9;Store2
1793;Friday;5;Store3
1794;Friday;7;Store4
1795;Saturday;1;Store1
1796;Saturday;3;Store2
1797;Saturday;8;Store3
1798;Saturday;3;Store4
1799;Sunday;3;Store1
1800;Sunday;8;Store2
1801;Sunday;2;Store3
1802;Sunday;2;Store4
1803;Monday;5;Store1
1804;Monday;3;Store3
1805;Monday;4;Store4
1806;Tuesday;6;Store1
1807;Tuesday;8;Store2
1808;Tuesday;1;Store3
1809;Tuesday;3;Store4
1810;Wednesday;3;Store1
1811;Wednesday;8;Store2
1812;Wednesday;2;Store4
1813;Thursday;1;Store1
1814;Thursday;4;Store2
1815;Thursday;5;Store3
1816;Thursday;2;Store4
1817;Friday;8;Store1
1818;Friday;3;Store2
1819;Friday;4;Store3
1820;Friday;4;Store4
1821;Saturday;7;Store1
1822;Saturday;1;Store2
1823;Saturday;3;Store3
1824;Saturday;9;Store4
1825;Sunday;3;Store1
1826;Sunday;4;Store3
1827;Sunday;3;Store4
1828;Monday;5;Store1
1829;Monday;3;Store2
1830;Monday;2;Store4
1831;Tuesday;3;Store1
1832;Tuesday;4;Store2
1833;Tuesday;4;Store3
1834;Tuesday;4;Store4
1835;Wednesday;2;Store1
1836;Wednesday;3;Store2
1837;Wednesday;3;Store3
1838;Thursday;2;Store1
1839;Thursday;3;Store2
1840;Thursday;3;Store3
1841;Thursday;2;Store4
1842;Friday;5;Store1
1843;Friday;10;Store2
1844;Friday;4;Store3
1845;Friday;7;Store4
1846;Saturday;5;Store1
1847;Saturday;4;Store2
1848;Saturday;7;Store4
1849;Sunday;1;Store1
1850;Sunday;3;Store3
1851;Monday;1;Store1
1852;Monday;1;Store2
1853;Monday;4;Store3
1854;Tuesday;3;Store1
1855;Tuesday;2;Store2
1856;Tuesday;3;Store3
1857;Wednesday;3;Store1
1858;Wednesday;4;Store2
1859;Wednesday;3;Store3
1860;Wednesday;4;Store4
1861;Thursday;7;Store1
1862;Thursday;5;Store2
1863;Thursday;6;Store3
1864;Thursday;2;Store4
1865;Friday;2;Store1
1866;Friday;3;Store2
1867;Friday;3;Store3
1868;Friday;5;Store4
1869;Saturday;1;Store1
1870;Saturday;8;Store2
1871;Saturday;13;Store4
1872;Sunday;3;Store1
1873;Sunday;5;Store2
1874;Sunday;1;Store3
1875;Sunday;1;Store4
1876;Saturday;5;Store1
1877;Saturday;3;Store2
1878;Saturday;3;Store3
1879;Saturday;3;Store4
1880;Sunday;5;Store1
1881;Sunday;3;Store2
1882;Sunday;5;Store3
1883;Sunday;3;Store4
1884;Monday;1;Store1
1885;Monday;7;Store2
1886;Monday;2;Store3
1887;Monday;5;Store4
1888;Tuesday;3;Store1
1889;Tuesday;8;Store2
1890;Tuesday;2;Store3
1891;Tuesday;2;Store4
1892;Wednesday;5;Store2
1893;Wednesday;5;Store4
1894;Thursday;4;Store1
1895;Thursday;7;Store2
1896;Thursday;8;Store4
1897;Friday;4;Store1
1898;Friday;6;Store2
1899;Friday;2;Store3
1900;Saturday;8;Store1
1901;Saturday;6;Store2
1902;Saturday;2;Store3
1903;Saturday;3;Store4
1904;Sunday;5;Store1
1905;Sunday;8;Store2
1906;Sunday;9;Store3
1907;Sunday;2;Store4
1908;Monday;5;Store1
1909;Monday;2;Store3
1910;Monday;1;Store4
1911;Tuesday;7;Store1
1912;Tuesday;4;Store2
1913;Tuesday;2;Store4
1914;Wednesday;3;Store1
1915;Wednesday;5;Store2
1916;Wednesday;5;Store3
1917;Wednesday;1;Store4
1918;Thursday;2;Store1
1919;Thursday;5;Store2
1920;Thursday;1;Store3
1921;Thursday;4;Store4
1922;Friday;4;Store1
1923;Friday;9;Store2
1924;Friday;2;Store3
1925;Friday;3;Store4
1926;Saturday;8;Store1
1927;Saturday;4;Store2
1928;Saturday;6;Store3
1929;Saturday;3;Store4
1930;Sunday;6;Store1
1931;Sunday;4;Store2
1932;Sunday;5;Store3
1933;Sunday;6;Store4
1934;Monday;8;Store1
1935;Monday;6;Store2
1936;Monday;1;Store3
1937;Monday;1;Store4
1938;Tuesday;3;Store1
1939;Tuesday;4;Store2
1940;Tuesday;2;Store3
1941;Tuesday;4;Store4
1942;Wednesday;4;Store1
1943;Wednesday;8;Store2
1944;Wednesday;2;Store3
1945;Thursday;2;Store1
1946;Thursday;5;Store2
1947;Thursday;3;Store3
1948;Thursday;3;Store4
1949;Friday;3;Store1
1950;Friday;3;Store2
1951;Friday;4;Store3
1952;Friday;1;Store4
1953;Saturday;9;Store1
1954;Saturday;5;Store2
1955;Saturday;12;Store3
1956;Saturday;2;Store4
1957;Sunday;5;Store1
1958;Sunday;14;Store2
1959;Sunday;6;Store3
1960;Sunday;7;Store4
1961;Monday;7;Store1
1962;Monday;2;Store2
1963;Monday;1;Store3
1964;Monday;1;Store4
1965;Tuesday;4;Store1
1966;Tuesday;2;Store2
1967;Tuesday;3;Store3
1968;Tuesday;4;Store4
1969;Wednesday;3;Store1
1970;Wednesday;2;Store2
1971;Wednesday;1;Store3
1972;Wednesday;1;Store4
1973;Thursday;5;Store1
1974;Thursday;7;Store2
1975;Thursday;1;Store3
1976;Thursday;6;Store4
1977;Friday;4;Store1
1978;Friday;3;Store3
1979;Friday;2;Store4
1980;Saturday;11;Store1
1981;Saturday;13;Store2
1982;Saturday;10;Store3
1983;Saturday;2;Store4
1984;Sunday;8;Store1
1985;Sunday;2;Store2
1986;Sunday;1;Store3
1987;Sunday;4;Store4
1988;Monday;6;Store1
1989;Monday;1;Store2
1990;Monday;1;Store3
1991;Monday;4;Store1
1992;Monday;6;Store4
1993;Saturday;7;Store1
1994;Saturday;5;Store2
1995;Saturday;6;Store3
1996;Saturday;3;Store4
1997;Sunday;3;Store1
1998;Sunday;1;Store2
1999;Sunday;3;Store3
2000;Monday;1;Store1
2001;Monday;2;Store2
2002;Monday;5;Store3
2003;Monday;1;Store4
2004;Tuesday;3;Store1
2005;Tuesday;1;Store2
2006;Tuesday;6;Store3
2007;Tuesday;1;Store4
2008;Wednesday;7;Store2
2009;Wednesday;1;Store3
2010;Wednesday;3;Store4
2011;Thursday;2;Store1
2012;Thursday;4;Store2
2013;Thursday;6;Store3
2014;Thursday;2;Store4
2015;Friday;6;Store1
2016;Friday;3;Store2
2017;Friday;3;Store3
2018;Friday;5;Store4
2019;Saturday;4;Store1
2020;Saturday;1;Store2
2021;Saturday;3;Store3
2022;Saturday;7;Store4
2023;Sunday;4;Store1
2024;Sunday;3;Store2
2025;Sunday;5;Store3
2026;Sunday;1;Store4
2027;Monday;2;Store1
2028;Monday;5;Store2
2029;Monday;1;Store3
2030;Monday;1;Store4
2031;Tuesday;5;Store1
2032;Tuesday;6;Store2
2033;Tuesday;5;Store3
2034;Tuesday;2;Store4
2035;Wednesday;1;Store1
2036;Wednesday;1;Store2
2037;Wednesday;8;Store3
2038;Wednesday;2;Store4
2039;Thursday;2;Store1
2040;Thursday;2;Store2
2041;Thursday;4;Store3
2042;Thursday;3;Store4
2043;Friday;1;Store1
2044;Friday;4;Store2
2045;Friday;5;Store3
2046;Friday;5;Store4
2047;Saturday;4;Store1
2048;Saturday;3;Store2
2049;Saturday;6;Store3
2050;Saturday;4;Store4
2051;Sunday;5;Store1
2052;Sunday;8;Store2
2053;Sunday;1;Store3
2054;Monday;3;Store1
2055;Monday;6;Store2
