;Daypart Name;Daypart Sales $;Encoded_REST_KEY
2248;Regular Menu;2863.37;Store4
2249;Total Day;3536.83;Store4
2250;After 4PM;973.12;Store4
2251;Afternoon;594.91;Store4
2252;Breakfast;843.49;Store4
2253;Dinner;960.35;Store4
2254;Evening;12.77;Store4
2255;Late Night;0.0;Store4
2256;Lunch;980.14;Store4
2257;Morning;881.97;Store4
2258;Regular Menu;2586.65;Store4
2259;Total Day;3430.14;Store4
2260;After 4PM;1435.39;Store4
2261;Afternoon;482.7;Store4
2262;Breakfast;667.52;Store4
2263;Dinner;1285.89;Store4
2264;Evening;149.5;Store4
2265;Late Night;0.0;Store4
2266;Lunch;997.88;Store4
2267;Morning;755.24;Store4
2268;Regular Menu;3003.69;Store4
2269;Total Day;3671.21;Store4
2270;After 4PM;1502.23;Store4
2271;Afternoon;781.4;Store4
2272;Breakfast;725.39;Store4
2273;Dinner;1268.07;Store4
2274;Evening;234.16;Store4
2275;Late Night;0.0;Store4
2276;Lunch;1349.3;Store4
2277;Morning;781.76;Store4
2278;Regular Menu;3689.3;Store4
2279;Total Day;4414.69;Store4
2280;After 4PM;1546.77;Store4
2281;Afternoon;568.45;Store4
2282;Breakfast;816.31;Store4
2283;Dinner;1407.58;Store4
2284;Evening;139.19;Store4
2285;Late Night;0.0;Store4
2286;Lunch;1200.35;Store4
2287;Morning;884.18;Store4
2288;Regular Menu;3383.44;Store4
2289;Total Day;4199.75;Store4
2290;After 4PM;1656.24;Store4
2291;Afternoon;636.47;Store4
2292;Breakfast;1173.74;Store4
2293;Dinner;1409.02;Store4
2294;Evening;247.22;Store4
2295;Late Night;5.17;Store4
2296;Lunch;1354.52;Store4
2297;Morning;1173.74;Store4
2298;Regular Menu;3647.23;Store4
2299;Total Day;4820.97;Store4
2300;After 4PM;1356.52;Store4
2301;Afternoon;534.92;Store4
2302;Breakfast;957.3;Store4
2303;Dinner;1187.47;Store4
2304;Evening;169.05;Store4
2305;Late Night;0.0;Store4
2306;Lunch;807.56;Store4
2307;Morning;957.3;Store4
2308;Regular Menu;2699.0;Store4
2309;Total Day;3656.3;Store4
2310;After 4PM;910.81;Store4
2311;Afternoon;438.38;Store4
2312;Breakfast;583.88;Store4
2313;Dinner;839.55;Store4
2314;Evening;71.26;Store4
2315;Late Night;0.0;Store4
2316;Lunch;1157.98;Store4
2317;Morning;616.91;Store4
2318;Regular Menu;2540.2;Store4
2319;Total Day;3124.08;Store4
2320;After 4PM;1459.2;Store4
2321;Afternoon;614.42;Store4
2322;Breakfast;648.26;Store4
2323;Dinner;1145.57;Store4
2324;Evening;313.63;Store4
2325;Late Night;0.0;Store4
2326;Lunch;1033.64;Store4
2327;Morning;692.08;Store4
2328;Regular Menu;3151.08;Store4
2329;Total Day;3799.34;Store4
2330;After 4PM;1622.42;Store4
2331;Afternoon;664.04;Store4
2332;Breakfast;686.15;Store4
2333;Dinner;1425.18;Store4
2334;Evening;197.24;Store4
2335;Late Night;0.0;Store4
2336;Lunch;1022.7;Store4
2337;Morning;737.11;Store4
2338;Regular Menu;3360.12;Store4
2339;Total Day;4046.27;Store4
2340;After 4PM;1788.61;Store4
2341;Afternoon;550.8;Store4
2342;Breakfast;769.78;Store4
2343;Dinner;1570.99;Store4
2344;Evening;217.62;Store4
2345;Late Night;0.0;Store4
2346;Lunch;937.13;Store4
2347;Morning;815.48;Store4
2348;Regular Menu;3322.24;Store4
2349;Total Day;4092.02;Store4
2350;After 4PM;1694.46;Store4
2351;Afternoon;709.82;Store4
2352;Breakfast;932.25;Store4
2353;Dinner;1402.64;Store4
2354;Evening;291.82;Store4
2355;Late Night;0.0;Store4
2356;Lunch;1177.09;Store4
2357;Morning;1016.03;Store4
2358;Regular Menu;3665.15;Store4
2359;Total Day;4597.4;Store4
2360;After 4PM;1440.85;Store4
2361;Afternoon;664.77;Store4
2362;Breakfast;994.54;Store4
2363;Dinner;1202.88;Store4
2364;Evening;237.97;Store4
2365;Late Night;0.0;Store4
2366;Lunch;904.53;Store4
2367;Morning;994.54;Store4
2368;Regular Menu;3010.15;Store4
2369;Total Day;4004.69;Store4
2370;After 4PM;1125.6;Store4
2371;Afternoon;534.47;Store4
2372;Breakfast;864.09;Store4
2373;Dinner;998.39;Store4
2374;Evening;127.21;Store4
2375;Late Night;0.0;Store4
2376;Lunch;921.88;Store4
2377;Morning;864.09;Store4
2378;Regular Menu;2581.95;Store4
2379;Total Day;3446.04;Store4
2380;After 4PM;1352.79;Store4
2381;Afternoon;694.38;Store4
2382;Breakfast;685.72;Store4
2383;Dinner;1161.09;Store4
2384;Evening;191.7;Store4
2385;Late Night;0.0;Store4
2386;Lunch;1093.28;Store4
2387;Morning;728.62;Store4
2388;Regular Menu;3183.35;Store4
2389;Total Day;3869.07;Store4
2390;After 4PM;1252.29;Store4
2391;Afternoon;524.87;Store4
2392;Breakfast;759.02;Store4
2393;Dinner;1247.9;Store4
2394;Evening;4.39;Store4
2395;Late Night;0.0;Store4
2396;Lunch;949.86;Store4
2397;Morning;837.66;Store4
2398;Regular Menu;2805.66;Store4
2399;Total Day;3564.68;Store4
2400;After 4PM;1283.17;Store4
2401;Afternoon;580.34;Store4
2402;Breakfast;728.32;Store4
2403;Dinner;1174.89;Store4
2404;Evening;108.28;Store4
2405;Late Night;0.0;Store4
2406;Lunch;914.81;Store4
2407;Morning;791.35;Store4
2408;Regular Menu;2841.35;Store4
2409;Total Day;3569.67;Store4
2410;After 4PM;1819.01;Store4
2411;Afternoon;625.52;Store4
2412;Breakfast;743.38;Store4
2413;Dinner;1597.1;Store4
2414;Evening;221.91;Store4
2415;Late Night;0.0;Store4
2416;Lunch;1178.92;Store4
2417;Morning;818.04;Store4
2418;Regular Menu;3698.11;Store4
2419;Total Day;4441.49;Store4
2420;After 4PM;1666.03;Store4
2421;Afternoon;484.91;Store4
2422;Breakfast;738.77;Store4
2423;Dinner;1332.1;Store4
2424;Evening;333.93;Store4
2425;Late Night;0.0;Store4
2426;Lunch;1172.84;Store4
2427;Morning;799.79;Store4
2428;Regular Menu;3384.8;Store4
2429;Total Day;4123.57;Store4
2430;After 4PM;1435.04;Store4
2431;Afternoon;787.51;Store4
2432;Breakfast;1088.59;Store4
2433;Dinner;1219.65;Store4
2434;Evening;215.39;Store4
2435;Late Night;0.0;Store4
2436;Lunch;1367.37;Store4
2437;Morning;1088.59;Store4
2438;Regular Menu;3589.92;Store4
2439;Total Day;4678.51;Store4
2440;After 4PM;551.64;Store4
2441;Afternoon;650.31;Store4
2442;Breakfast;907.15;Store4
2443;Dinner;551.64;Store4
2444;Evening;0.0;Store4
2445;Late Night;0.0;Store4
2446;Lunch;917.64;Store4
2447;Morning;907.15;Store4
2448;Regular Menu;2119.59;Store4
2449;Total Day;3026.74;Store4
